onset	duration	parametric modulation
172766.217699987	3054.11060001643	1
189386.123799995	3162.15329999977	1
201042.446799998	3733.83640000247	1
229942.101499997	3507.16169999214	1
241155.662599995	3809.52660000185	1
252214.833299993	3295.38779999712	1
258975.853299999	3370.36209998769	1
295652.253799999	2611.91719998897	1
302315.621499991	2965.52720000909	1
319065.879899994	3163.06710000208	1
346061.942899993	2683.15350000921	1
365481.195699991	3864.86550001428	1
369406.724699991	3955.30460000737	1
383056.650499988	3153.4141000011	1
389199.66459999	3158.35759999754	1
434907.985400001	4009.94719998562	1
438982.228299996	3476.75259999232	1
445879.953199998	2727.0184999943	1
455232.754299999	3696.15849999536	1
472430.932599993	3567.99949999549	1
487547.789999997	2526.19170000253	1
497255.434899998	3304.47980000463	1
504350.181899994	2908.68970000884	1
520100.031399998	3782.85279999545	1
527627.874499987	2886.98850000219	1
530576.905399997	3864.98009999923	1
582577.869399989	2892.93629999156	1
591385.580199989	3127.21659999806	1
605411.9507	3278.86530000251	1
611776.009499998	3139.69979998365	1
614979.481699993	3608.27920000884	1
633794.990999988	2763.7381000095	1
646951.154199996	2983.56710000371	1
649996.864599991	3545.84960000648	1
732226.16939999	3502.43509998836	1
735792.218999995	3610.36969999259	1
760708.035699994	3103.53860001487	1
779891.012199994	3126.48289999925	1
796908.302999989	3130.23550000798	1
807080.304099989	3674.2125999881	1
