"Memorable","Memorable_1","Repetition","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","correct","correct_instruction_2_sketchpad","correct_instructions_sketchpad","correct_keypress_practice_sketchpad","correct_new_1_sketchpad","correct_new_3_keyboard_response","correct_trial_keyboard_response","correct_trigger_scanner_keyboard_response","count_ISI_sketchpad","count_Sample_interval_sketchpad","count_baseline_block_sketchpad","count_block1_loop","count_block2_loop","count_block3_loop","count_block4_loop","count_block5_loop","count_end_of_practice_sketchpad","count_end_sketchpad","count_experiment","count_filler_quick_response_sketchpad","count_fixation_sketchpad","count_instruction_2_sketchpad","count_instructions_sketchpad","count_keypress_practice_sketchpad","count_new_1_sketchpad","count_new_2_sketchpad","count_new_3_keyboard_response","count_new_3_sketchpad","count_new_4_sketchpad","count_new_5_sketchpad","count_new_7_sketchpad","count_new_8_sketchpad","count_new_logger","count_practice_2_loop","count_practice_sequence","count_response_sketchpad","count_trial_keyboard_response","count_trial_sequence","count_trigger_scanner_keyboard_response","count_waiting_scanner_sketchpad","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","image","interval","keyboard_backend","live_row","live_row_block1_loop","live_row_practice_2_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","probe","repeat_cycle","response","response_instruction_2_sketchpad","response_instructions_sketchpad","response_keypress_practice_sketchpad","response_new_1_sketchpad","response_new_3_keyboard_response","response_new_5_sketchpad","response_time","response_time_instruction_2_sketchpad","response_time_instructions_sketchpad","response_time_keypress_practice_sketchpad","response_time_new_1_sketchpad","response_time_new_3_keyboard_response","response_time_new_5_sketchpad","response_time_trial_keyboard_response","response_time_trigger_scanner_keyboard_response","response_trial_keyboard_response","response_trigger_scanner_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_ISI_sketchpad","time_Sample_interval_sketchpad","time_baseline_block_sketchpad","time_block1_loop","time_block2_loop","time_block3_loop","time_block4_loop","time_block5_loop","time_end_of_practice_sketchpad","time_end_sketchpad","time_experiment","time_filler_quick_response_sketchpad","time_fixation_sketchpad","time_instruction_2_sketchpad","time_instructions_sketchpad","time_keypress_practice_sketchpad","time_new_1_sketchpad","time_new_2_sketchpad","time_new_3_keyboard_response","time_new_3_sketchpad","time_new_4_sketchpad","time_new_5_sketchpad","time_new_7_sketchpad","time_new_8_sketchpad","time_new_logger","time_practice_2_loop","time_practice_sequence","time_response_sketchpad","time_trial_keyboard_response","time_trial_sequence","time_trigger_scanner_keyboard_response","time_waiting_scanner_sketchpad","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"1","NA","1","undefined","undefined","2706.5137416684593","2706.5137416684593","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9","NA","9","9","3","0","9","0","0","0","3","0","Wed Jan 10 14:58:05 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Google_1_Nathan Kiger_3_oval.jpg","600","psycho","0","0","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3038.csv","psycho","Lentiform Loewenfeld","3.3.12","Google_1_Nathan Kiger_3_oval.jpg","0","1","1","1","1","1","1","NA","407.61120000388473","18178.486399992835","9841.03710000636","9351.66479999316","5396.691800007829","1225.7022999983747","NA","407.61120000388473","25436.359700004687","1","5","2","psycho","1024","2","48000","-16","experiment","3038","even","106653.96270000201","106043.32959999738","NA","104968.37750000122","NA","NA","NA","NA","69156.26570000313","NA","3166.820300000836","107165.12520000106","105033.2672999939","13028.575500007719","3174.043699997128","70167.33110000496","31218.36389999953","64974.02179999335","67917.26489999564","65985.48449999362","67196.59110000066","NA","67706.20410000265","67917.1975000063","107883.38729999668","36615.40340000647","64964.72249999351","107475.27890000492","107475.34289999749","105019.38890000747","79531.59199999936","79531.53710000333","Face Interval Estimation","0","32478.16490002151","12","no","680"
"1","NA","0","undefined","undefined","2590.940669232693","2590.940669232693","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","1","1","5","0","0","0","0","0","0","0","0","1","1","0","0","0","0","9","9","9","9","NA","9","9","4","0","9","1","1","1","3","0","Wed Jan 10 14:58:05 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Google_1_Jonathan Marek_13_oval.jpg","1200","psycho","1","1","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3038.csv","psycho","Lentiform Loewenfeld","3.3.12","Google_1_Louis Somerville_13_oval.jpg","0","1","1","1","1","1","1","NA","1204.063800003496","18178.486399992835","9841.03710000636","9351.66479999316","5396.691800007829","1225.7022999983747","NA","1204.063800003496","25436.359700004687","1","5","2","psycho","1024","2","48000","-16","experiment","3038","even","110170.55700000492","108959.79900000384","NA","104968.37750000122","NA","NA","NA","NA","69156.26570000313","NA","3166.820300000836","110681.35719999555","107950.30029999907","13028.575500007719","3174.043699997128","70167.33110000496","31218.36389999953","64974.02179999335","67917.26489999564","65985.48449999362","67196.59110000066","NA","67706.20410000265","67917.1975000063","112195.40039999993","36615.40340000647","64964.72249999351","110990.73689999932","110990.87270000018","107937.38469999516","79531.59199999936","79531.53710000333","Face Interval Estimation","0","33682.22870002501","13","no","680"
"1","NA","1","undefined","undefined","2467.4859428591194","2467.4859428591194","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","2","2","5","0","0","0","0","0","0","0","0","2","2","0","0","0","0","9","9","9","9","NA","9","9","5","0","9","2","2","2","3","0","Wed Jan 10 14:58:05 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Google_1_Gregory Moreira_17_oval.jpg","1200","psycho","2","2","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3038.csv","psycho","Lentiform Loewenfeld","3.3.12","Google_1_Gregory Moreira_17_oval.jpg","0","1","1","1","1","1","1","NA","862.5745000026654","18178.486399992835","9841.03710000636","9351.66479999316","5396.691800007829","1225.7022999983747","NA","862.5745000026654","25436.359700004687","1","5","2","psycho","1024","2","48000","-16","experiment","3038","even","114478.20430000138","113267.00599999458","NA","104968.37750000122","NA","NA","NA","NA","69156.26570000313","NA","3166.820300000836","114988.33100000047","112258.11290000274","13028.575500007719","3174.043699997128","70167.33110000496","31218.36389999953","64974.02179999335","67917.26489999564","65985.48449999362","67196.59110000066","NA","67706.20410000265","67917.1975000063","116161.28349999781","36615.40340000647","64964.72249999351","115298.28509999788","115298.3591999946","112245.83080000593","79531.59199999936","79531.53710000333","Face Interval Estimation","0","34544.80320002767","14","no","680"
"1","NA","1","undefined","undefined","2370.6777733352887","2370.6777733352887","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","3","3","5","0","0","0","0","0","0","0","0","3","3","0","0","0","0","9","9","9","9","NA","9","9","6","0","9","3","3","3","3","0","Wed Jan 10 14:58:05 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Google_1_Inez Hofer_5_oval.jpg","1000","psycho","3","3","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3038.csv","psycho","Lentiform Loewenfeld","3.3.12","Google_1_Inez Hofer_5_oval.jpg","0","1","1","1","1","1","1","NA","1015.3634000016609","18178.486399992835","9841.03710000636","9351.66479999316","5396.691800007829","1225.7022999983747","NA","1015.3634000016609","25436.359700004687","1","5","2","psycho","1024","2","48000","-16","experiment","3038","even","118243.37310000556","117231.8629000074","NA","104968.37750000122","NA","NA","NA","NA","69156.26570000313","NA","3166.820300000836","118752.51920000301","116222.43850000086","13028.575500007719","3174.043699997128","70167.33110000496","31218.36389999953","64974.02179999335","67917.26489999564","65985.48449999362","67196.59110000066","NA","67706.20410000265","67917.1975000063","120080.28189999459","36615.40340000647","64964.72249999351","119064.49699999939","119064.56379999872","116210.41379999951","79531.59199999936","79531.53710000333","Face Interval Estimation","0","35560.16660002933","15","no","680"
"0","NA","0","undefined","undefined","2295.542318751359","2295.542318751359","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","4","4","5","0","0","0","0","0","0","0","0","4","4","0","0","0","0","9","9","9","9","NA","9","9","7","0","9","4","4","4","3","0","Wed Jan 10 14:58:05 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Google_1_Fred Berube_15_oval.jpg","800","psycho","4","4","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3038.csv","psycho","Lentiform Loewenfeld","3.3.12","Google_1_Kristin Skelly_3_oval.jpg","0","1","1","1","1","1","1","NA","1168.5104999924079","18178.486399992835","9841.03710000636","9351.66479999316","5396.691800007829","1225.7022999983747","NA","1168.5104999924079","25436.359700004687","1","5","2","psycho","1024","2","48000","-16","experiment","3038","even","121964.71010000096","121150.44399999897","NA","104968.37750000122","NA","NA","NA","NA","69156.26570000313","NA","3166.820300000836","122473.33039999648","120141.68080000672","13028.575500007719","3174.043699997128","70167.33110000496","31218.36389999953","64974.02179999335","67917.26489999564","65985.48449999362","67196.59110000066","NA","67706.20410000265","67917.1975000063","123952.25790000404","36615.40340000647","64964.72249999351","122783.3302999934","122783.40230000322","120129.65800000529","79531.59199999936","79531.53710000333","Face Interval Estimation","0","36728.67710002174","16","no","680"
"1","NA","0","undefined","undefined","2217.4695000011366","2217.4695000011366","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","5","5","5","0","0","0","0","0","0","0","0","5","5","0","0","0","0","9","9","9","9","NA","9","9","8","0","9","5","5","5","3","0","Wed Jan 10 14:58:05 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Brian_Friedrich_19_oval.jpg","800","psycho","5","5","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3038.csv","psycho","Lentiform Loewenfeld","3.3.12","Google_1_Frank Luke_9_oval.jpg","0","1","1","1","1","1","1","NA","968.304399997578","18178.486399992835","9841.03710000636","9351.66479999316","5396.691800007829","1225.7022999983747","NA","968.304399997578","25436.359700004687","1","5","2","psycho","1024","2","48000","-16","experiment","3038","even","125836.97740000207","125024.39120000054","NA","104968.37750000122","NA","NA","NA","NA","69156.26570000313","NA","3166.820300000836","126349.01849999733","124015.64399999916","13028.575500007719","3174.043699997128","70167.33110000496","31218.36389999953","64974.02179999335","67917.26489999564","65985.48449999362","67196.59110000066","NA","67706.20410000265","67917.1975000063","127628.3870000043","36615.40340000647","64964.72249999351","126659.55409999879","126659.62750000472","124002.31409999833","79531.59199999936","79531.53710000333","Face Interval Estimation","0","37696.98150001932","17","no","680"
"0","NA","1","undefined","undefined","2120.3639000013936","2120.3639000013936","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","6","6","5","0","0","0","0","0","0","0","0","6","6","0","0","0","0","9","9","9","9","NA","9","9","9","0","9","6","6","6","3","0","Wed Jan 10 14:58:05 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Google_1_Michael Turcotte_13_oval.jpg","600","psycho","6","6","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3038.csv","psycho","Lentiform Loewenfeld","3.3.12","Google_1_Michael Turcotte_13_oval.jpg","0","1","1","1","1","1","1","NA","469.568700005766","18178.486399992835","9841.03710000636","9351.66479999316","5396.691800007829","1225.7022999983747","NA","469.568700005766","25436.359700004687","1","5","2","psycho","1024","2","48000","-16","experiment","3038","even","129311.86070000695","128700.83909999812","NA","104968.37750000122","NA","NA","NA","NA","69156.26570000313","NA","3166.820300000836","129821.75479999569","127689.2336000019","13028.575500007719","3174.043699997128","70167.33110000496","31218.36389999953","64974.02179999335","67917.26489999564","65985.48449999362","67196.59110000066","NA","67706.20410000265","67917.1975000063","130601.25520000292","36615.40340000647","64964.72249999351","130131.24420000531","130131.33099999686","127678.11029999575","79531.59199999936","79531.53710000333","Face Interval Estimation","0","38166.550200025085","18","no","680"
"0","NA","1","undefined","undefined","2062.7306315804353","2062.7306315804353","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","7","7","5","0","0","0","0","0","0","0","0","7","7","0","0","0","0","9","9","9","9","NA","9","9","10","0","9","7","7","7","3","0","Wed Jan 10 14:58:05 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Google_1_Paul Sun_9_oval.jpg","1200","psycho","7","7","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3038.csv","psycho","Lentiform Loewenfeld","3.3.12","Google_1_Paul Sun_9_oval.jpg","0","1","1","1","1","1","1","NA","1025.3318000031868","18178.486399992835","9841.03710000636","9351.66479999316","5396.691800007829","1225.7022999983747","NA","1025.3318000031868","25436.359700004687","1","5","2","psycho","1024","2","48000","-16","experiment","3038","even","132883.59850000415","131673.34959999425","NA","104968.37750000122","NA","NA","NA","NA","69156.26570000313","NA","3166.820300000836","133394.04889999423","130663.6792000063","13028.575500007719","3174.043699997128","70167.33110000496","31218.36389999953","64974.02179999335","67917.26489999564","65985.48449999362","67196.59110000066","NA","67706.20410000265","67917.1975000063","134731.32449999684","36615.40340000647","64964.72249999351","133705.5171999964","133705.58809999784","130651.54619999521","79531.59199999936","79531.53710000333","Face Interval Estimation","0","39191.88200002827","19","no","680"
"0","NA","1","undefined","undefined","2015.357780001068","2015.357780001068","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","8","8","5","0","0","0","0","0","0","0","0","8","8","0","0","0","0","9","9","9","9","NA","9","9","11","0","9","8","8","8","3","0","Wed Jan 10 14:58:05 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Google_1_Kara Tsang_15_oval.jpg","1200","psycho","8","8","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3038.csv","psycho","Lentiform Loewenfeld","3.3.12","Google_1_Kara Tsang_15_oval.jpg","0","1","1","1","1","1","1","NA","1115.2735999930883","18178.486399992835","9841.03710000636","9351.66479999316","5396.691800007829","1225.7022999983747","NA","1115.2735999930883","25436.359700004687","1","5","2","psycho","1024","2","48000","-16","experiment","3038","even","137016.39489999798","135806.0683000076","NA","104968.37750000122","NA","NA","NA","NA","69156.26570000313","NA","3166.820300000836","137528.68930000113","134795.7380000007","13028.575500007719","3174.043699997128","70167.33110000496","31218.36389999953","64974.02179999335","67917.26489999564","65985.48449999362","67196.59110000066","NA","67706.20410000265","67917.1975000063","138954.27620000555","36615.40340000647","64964.72249999351","137838.55590000167","137838.63280000514","134782.83189999638","79531.59199999936","79531.53710000333","Face Interval Estimation","0","40307.15560002136","20","no","680"
"0","NA","0","undefined","undefined","1960.803571429486","1960.803571429486","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","9","9","5","0","0","0","0","0","0","0","0","9","9","0","0","0","0","9","9","9","9","NA","9","9","12","0","9","9","9","9","3","0","Wed Jan 10 14:58:05 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Google_1_Larry Perryman_5_oval.jpg","800","psycho","9","9","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3038.csv","psycho","Lentiform Loewenfeld","3.3.12","Allison_Samson_13_oval.jpg","0","1","1","1","1","1","1","NA","869.7193999978481","18178.486399992835","9841.03710000636","9351.66479999316","5396.691800007829","1225.7022999983747","NA","869.7193999978481","25436.359700004687","1","5","2","psycho","1024","2","48000","-16","experiment","3038","even","140841.83309999935","140028.44949999417","NA","104968.37750000122","NA","NA","NA","NA","69156.26570000313","NA","3166.820300000836","141350.9328999935","139016.3751999935","13028.575500007719","3174.043699997128","70167.33110000496","31218.36389999953","64974.02179999335","67917.26489999564","65985.48449999362","67196.59110000066","NA","67706.20410000265","67917.1975000063","142532.29570000258","36615.40340000647","64964.72249999351","141662.1390000073","141662.20639999665","139004.42749999638","79531.59199999936","79531.53710000333","Face Interval Estimation","0","41176.87500001921","21","no","680"
