onset	duration	parametric modulation
158909.107799991	2513.24520001072	1
165670.595499992	3783.8047999976	1
169516.011499989	3189.33950000792	1
198253.898299998	2727.40439999325	1
204838.163799999	3532.1328999853	1
208431.950300001	3683.31880000187	1
237305.57489999	3787.66129999713	1
248842.5212	3309.78360000881	1
298343.874300001	3909.29309999046	1
308076.653399999	3885.47169997764	1
322290.690299997	3512.44489999954	1
335380.259599988	3982.83380000794	1
348807.742799996	2904.35630000138	1
351775.434700001	3228.61399999238	1
380250.202099996	2743.8506000035	1
386268.681899994	2868.34639999142	1
448670.690399988	3156.26150000026	1
458989.110800001	3084.7991000046	1
462138.088699998	3157.86499998649	1
468770.679399997	3599.26309999719	1
481930.102499988	2701.83790000738	1
490136.634199996	3710.29079999425	1
493908.85159999	3285.04360000079	1
510425.924499999	2886.95430000371	1
513374.811799993	3238.05640000501	1
516673.412899996	3364.47659999249	1
534503.075099987	2763.80120000977	1
576246.737999987	3716.08030001516	1
580024.524399996	2491.29229997925	1
585533.783599996	2521.01589999802	1
588116.878299988	3208.89670000179	1
624494.152399988	3152.59899999364	1
630878.250099995	2853.49629999837	1
653602.045499996	3157.66539998003	1
725107.73209999	3199.89810000698	1
739465.383199989	3338.22250000958	1
746457.068699994	3877.52969999565	1
750396.741899996	3447.86319999548	1
771113.176399987	2806.38670000189	1
773983.680999998	2661.88510000939	1
