"Memorable","Memorable_1","Repetition","acc","accuracy","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","correct","correct_instruction_2_sketchpad","correct_instructions_sketchpad","correct_keypress_practice_sketchpad","correct_new_1_sketchpad","correct_new_3_keyboard_response","correct_trial_keyboard_response","correct_trigger_scanner_keyboard_response","count_ISI_sketchpad","count_Sample_interval_sketchpad","count_baseline_block_sketchpad","count_block1_loop","count_block2_loop","count_block3_loop","count_block4_loop","count_block5_loop","count_end_of_practice_sketchpad","count_end_sketchpad","count_experiment","count_filler_quick_response_sketchpad","count_fixation_sketchpad","count_instruction_2_sketchpad","count_instructions_sketchpad","count_keypress_practice_sketchpad","count_new_1_sketchpad","count_new_2_sketchpad","count_new_3_keyboard_response","count_new_3_sketchpad","count_new_4_sketchpad","count_new_5_sketchpad","count_new_7_sketchpad","count_new_8_sketchpad","count_new_logger","count_practice_2_loop","count_practice_sequence","count_response_sketchpad","count_trial_keyboard_response","count_trial_sequence","count_trigger_scanner_keyboard_response","count_waiting_scanner_sketchpad","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","image","interval","keyboard_backend","live_row","live_row_block1_loop","live_row_practice_2_loop","logfile","mouse_backend","opensesame_codename","opensesame_version","probe","repeat_cycle","response","response_instruction_2_sketchpad","response_instructions_sketchpad","response_keypress_practice_sketchpad","response_new_1_sketchpad","response_new_3_keyboard_response","response_new_5_sketchpad","response_time","response_time_instruction_2_sketchpad","response_time_instructions_sketchpad","response_time_keypress_practice_sketchpad","response_time_new_1_sketchpad","response_time_new_3_keyboard_response","response_time_new_5_sketchpad","response_time_trial_keyboard_response","response_time_trigger_scanner_keyboard_response","response_trial_keyboard_response","response_trigger_scanner_keyboard_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_ISI_sketchpad","time_Sample_interval_sketchpad","time_baseline_block_sketchpad","time_block1_loop","time_block2_loop","time_block3_loop","time_block4_loop","time_block5_loop","time_end_of_practice_sketchpad","time_end_sketchpad","time_experiment","time_filler_quick_response_sketchpad","time_fixation_sketchpad","time_instruction_2_sketchpad","time_instructions_sketchpad","time_keypress_practice_sketchpad","time_new_1_sketchpad","time_new_2_sketchpad","time_new_3_keyboard_response","time_new_3_sketchpad","time_new_4_sketchpad","time_new_5_sketchpad","time_new_7_sketchpad","time_new_8_sketchpad","time_new_logger","time_practice_2_loop","time_practice_sequence","time_response_sketchpad","time_trial_keyboard_response","time_trial_sequence","time_trigger_scanner_keyboard_response","time_waiting_scanner_sketchpad","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"1","NA","1","undefined","undefined","2093.7521416684226","2093.7521416684226","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","9","9","9","NA","9","9","3","0","9","0","0","0","3","0","Wed Jan 10 13:55:07 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Google_1_Nathan Kiger_3_oval.jpg","600","psycho","0","0","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3037.csv","psycho","Lentiform Loewenfeld","3.3.12","Google_1_Nathan Kiger_3_oval.jpg","0","1","1","1","1","1","1","NA","381.1266999982763","12465.058499990846","101628.92190000275","15275.290800011135","5805.195400011144","376.07430000207387","NA","381.1266999982763","18859.73749999539","1","5","2","psycho","1024","2","48000","-16","experiment","3037","odd","191761.92619999347","191150.5196999933","NA","190075.77769999625","NA","NA","NA","NA","154918.18809999677","NA","3132.7939000038896","192274.0480999928","190140.88479999918","104781.51420000358","3140.6405000016093","155931.1774999951","117258.333699996","152188.57610000123","154530.41849999863","153197.6108999952","153810.63219999487","NA","154320.1335000049","154530.34969999862","192966.75239999604","123063.84170000092","152177.19919999945","192585.2445000055","192585.3083999973","190126.6081000067","171215.70390000124","171215.6485000014","Face Interval Estimation","0","25125.02570002107","12","no","680"
"1","NA","0","undefined","undefined","1992.2753461556008","1992.2753461556008","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","1","1","5","0","0","0","0","0","0","0","0","1","1","0","0","0","0","9","9","9","9","NA","9","9","4","0","9","1","1","1","3","0","Wed Jan 10 13:55:07 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Google_1_Jonathan Marek_13_oval.jpg","1200","psycho","1","1","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3037.csv","psycho","Lentiform Loewenfeld","3.3.12","Google_1_Louis Somerville_13_oval.jpg","0","1","1","1","1","1","1","NA","774.5538000017405","12465.058499990846","101628.92190000275","15275.290800011135","5805.195400011144","376.07430000207387","NA","774.5538000017405","18859.73749999539","1","5","2","psycho","1024","2","48000","-16","experiment","3037","odd","195253.64019999688","194042.33440000098","NA","190075.77769999625","NA","NA","NA","NA","154918.18809999677","NA","3132.7939000038896","195762.86529999925","193030.6511999952","104781.51420000358","3140.6405000016093","155931.1774999951","117258.333699996","152188.57610000123","154530.41849999863","153197.6108999952","153810.63219999487","NA","154320.1335000049","154530.34969999862","196848.711300001","123063.84170000092","152177.19919999945","196073.7722000049","196073.8474999962","193019.0167999972","171215.70390000124","171215.6485000014","Face Interval Estimation","0","25899.57950002281","13","no","680"
"1","NA","1","undefined","undefined","1898.0053285725132","1898.0053285725132","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","2","2","5","0","0","0","0","0","0","0","0","2","2","0","0","0","0","9","9","9","9","NA","9","9","5","0","9","2","2","2","3","0","Wed Jan 10 13:55:07 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Google_1_Gregory Moreira_17_oval.jpg","1200","psycho","2","2","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3037.csv","psycho","Lentiform Loewenfeld","3.3.12","Google_1_Gregory Moreira_17_oval.jpg","0","1","1","1","1","1","1","NA","672.4950999923749","12465.058499990846","101628.92190000275","15275.290800011135","5805.195400011144","376.07430000207387","NA","672.4950999923749","18859.73749999539","1","5","2","psycho","1024","2","48000","-16","experiment","3037","odd","199132.08389999636","197921.31210000662","NA","190075.77769999625","NA","NA","NA","NA","154918.18809999677","NA","3132.7939000038896","199640.80589999503","196911.07479999482","104781.51420000358","3140.6405000016093","155931.1774999951","117258.333699996","152188.57610000123","154530.41849999863","153197.6108999952","153810.63219999487","NA","154320.1335000049","154530.34969999862","200623.90039999445","123063.84170000092","152177.19919999945","199950.84889999998","199950.9243000066","196898.04630000435","171215.70390000124","171215.6485000014","Face Interval Estimation","0","26572.074600015185","14","no","680"
"1","NA","1","undefined","undefined","1802.704106667079","1802.704106667079","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","3","3","5","0","0","0","0","0","0","0","0","3","3","0","0","0","0","9","9","9","9","NA","9","9","6","0","9","3","3","3","3","0","Wed Jan 10 13:55:07 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Google_1_Inez Hofer_5_oval.jpg","1000","psycho","3","3","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3037.csv","psycho","Lentiform Loewenfeld","3.3.12","Google_1_Inez Hofer_5_oval.jpg","0","1","1","1","1","1","1","NA","468.48699999100063","12465.058499990846","101628.92190000275","15275.290800011135","5805.195400011144","376.07430000207387","NA","468.48699999100063","18859.73749999539","1","5","2","psycho","1024","2","48000","-16","experiment","3037","odd","202703.5218999954","201692.3589000071","NA","190075.77769999625","NA","NA","NA","NA","154918.18809999677","NA","3132.7939000038896","203215.12619999703","200683.56170000334","104781.51420000358","3140.6405000016093","155931.1774999951","117258.333699996","152188.57610000123","154530.41849999863","153197.6108999952","153810.63219999487","NA","154320.1335000049","154530.34969999862","203993.76409999968","123063.84170000092","152177.19919999945","203524.86390000558","203524.928800005","200671.2564000045","171215.70390000124","171215.6485000014","Face Interval Estimation","0","27040.561600006185","15","no","680"
"0","NA","0","undefined","undefined","1725.4490562499996","1725.4490562499996","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","4","4","5","0","0","0","0","0","0","0","0","4","4","0","0","0","0","9","9","9","9","NA","9","9","7","0","9","4","4","4","3","0","Wed Jan 10 13:55:07 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Google_1_Fred Berube_15_oval.jpg","800","psycho","4","4","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3037.csv","psycho","Lentiform Loewenfeld","3.3.12","Google_1_Kristin Skelly_3_oval.jpg","0","1","1","1","1","1","1","NA","566.6232999938074","12465.058499990846","101628.92190000275","15275.290800011135","5805.195400011144","376.07430000207387","NA","566.6232999938074","18859.73749999539","1","5","2","psycho","1024","2","48000","-16","experiment","3037","odd","205877.17589999374","205066.60340000235","NA","190075.77769999625","NA","NA","NA","NA","154918.18809999677","NA","3132.7939000038896","206388.9569000021","204056.0492999939","104781.51420000358","3140.6405000016093","155931.1774999951","117258.333699996","152188.57610000123","154530.41849999863","153197.6108999952","153810.63219999487","NA","154320.1335000049","154530.34969999862","207265.750999999","123063.84170000092","152177.19919999945","206698.7214999972","206698.7891000026","204042.6032999967","171215.70390000124","171215.6485000014","Face Interval Estimation","0","27607.184899999993","16","no","680"
"1","NA","0","undefined","undefined","1639.8562000001275","1639.8562000001275","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","5","5","5","0","0","0","0","0","0","0","0","5","5","0","0","0","0","9","9","9","9","NA","9","9","8","0","9","5","5","5","3","0","Wed Jan 10 13:55:07 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Brian_Friedrich_19_oval.jpg","800","psycho","5","5","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3037.csv","psycho","Lentiform Loewenfeld","3.3.12","Google_1_Frank Luke_9_oval.jpg","0","1","1","1","1","1","1","NA","270.3705000021728","12465.058499990846","101628.92190000275","15275.290800011135","5805.195400011144","376.07430000207387","NA","270.3705000021728","18859.73749999539","1","5","2","psycho","1024","2","48000","-16","experiment","3037","odd","209164.9569000001","208354.49129999324","NA","190075.77769999625","NA","NA","NA","NA","154918.18809999677","NA","3132.7939000038896","209674.8363999941","207341.96859999793","104781.51420000358","3140.6405000016093","155931.1774999951","117258.333699996","152188.57610000123","154530.41849999863","153197.6108999952","153810.63219999487","NA","154320.1335000049","154530.34969999862","210257.01610000397","123063.84170000092","152177.19919999945","209985.9271000023","209986.0258999979","207330.10439999634","171215.70390000124","171215.6485000014","Face Interval Estimation","0","27877.555400002166","17","no","680"
"0","NA","1","undefined","undefined","1562.8918388885925","1562.8918388885925","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","6","6","5","0","0","0","0","0","0","0","0","6","6","0","0","0","0","9","9","9","9","NA","9","9","9","0","9","6","6","6","3","0","Wed Jan 10 13:55:07 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Google_1_Michael Turcotte_13_oval.jpg","600","psycho","6","6","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3037.csv","psycho","Lentiform Loewenfeld","3.3.12","Google_1_Michael Turcotte_13_oval.jpg","0","1","1","1","1","1","1","NA","254.49769999249838","12465.058499990846","101628.92190000275","15275.290800011135","5805.195400011144","376.07430000207387","NA","254.49769999249838","18859.73749999539","1","5","2","psycho","1024","2","48000","-16","experiment","3037","odd","211939.43260000378","211326.78990000568","NA","190075.77769999625","NA","NA","NA","NA","154918.18809999677","NA","3132.7939000038896","212447.93720000598","210317.54770000407","104781.51420000358","3140.6405000016093","155931.1774999951","117258.333699996","152188.57610000123","154530.41849999863","153197.6108999952","153810.63219999487","NA","154320.1335000049","154530.34969999862","213013.74199999555","123063.84170000092","152177.19919999945","212758.79779999377","212758.87320000038","210305.83519999345","171215.70390000124","171215.6485000014","Face Interval Estimation","0","28132.053099994664","18","no","680"
"0","NA","1","undefined","undefined","1516.8288210521782","1516.8288210521782","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","7","7","5","0","0","0","0","0","0","0","0","7","7","0","0","0","0","9","9","9","9","NA","9","9","10","0","9","7","7","7","3","0","Wed Jan 10 13:55:07 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Google_1_Paul Sun_9_oval.jpg","1200","psycho","7","7","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3037.csv","psycho","Lentiform Loewenfeld","3.3.12","Google_1_Paul Sun_9_oval.jpg","0","1","1","1","1","1","1","NA","687.6944999967236","12465.058499990846","101628.92190000275","15275.290800011135","5805.195400011144","376.07430000207387","NA","687.6944999967236","18859.73749999539","1","5","2","psycho","1024","2","48000","-16","experiment","3037","odd","215297.11790000147","214086.53590000176","NA","190075.77769999625","NA","NA","NA","NA","154918.18809999677","NA","3132.7939000038896","215808.10419999762","213076.17359999858","104781.51420000358","3140.6405000016093","155931.1774999951","117258.333699996","152188.57610000123","154530.41849999863","153197.6108999952","153810.63219999487","NA","154320.1335000049","154530.34969999862","216805.75359999784","123063.84170000092","152177.19919999945","216117.6284999965","216117.69440000353","213063.39700000535","171215.70390000124","171215.6485000014","Face Interval Estimation","0","28819.747599991388","19","no","680"
"0","NA","1","undefined","undefined","1470.449264999479","1470.449264999479","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","8","8","5","0","0","0","0","0","0","0","0","8","8","0","0","0","0","9","9","9","9","NA","9","9","11","0","9","8","8","8","3","0","Wed Jan 10 13:55:07 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Google_1_Kara Tsang_15_oval.jpg","1200","psycho","8","8","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3037.csv","psycho","Lentiform Loewenfeld","3.3.12","Google_1_Kara Tsang_15_oval.jpg","0","1","1","1","1","1","1","NA","589.2376999981934","12465.058499990846","101628.92190000275","15275.290800011135","5805.195400011144","376.07430000207387","NA","589.2376999981934","18859.73749999539","1","5","2","psycho","1024","2","48000","-16","experiment","3037","odd","219088.91950000543","217878.13399999868","NA","190075.77769999625","NA","NA","NA","NA","154918.18809999677","NA","3132.7939000038896","219598.54219999397","216867.81019999762","104781.51420000358","3140.6405000016093","155931.1774999951","117258.333699996","152188.57610000123","154530.41849999863","153197.6108999952","153810.63219999487","NA","154320.1335000049","154530.34969999862","220499.770800001","123063.84170000092","152177.19919999945","219910.07739999623","219910.14829999767","216855.75970000355","171215.70390000124","171215.6485000014","Face Interval Estimation","0","29408.98529998958","20","no","680"
"0","NA","0","undefined","undefined","1426.6646619043536","1426.6646619043536","#ADADAD","psycho","psycho","psycho","undefined","undefined","undefined","undefined","undefined","undefined","undefined","undefined","9","9","5","0","0","0","0","0","0","0","0","9","9","0","0","0","0","9","9","9","9","NA","9","9","12","0","9","9","9","9","3","0","Wed Jan 10 13:55:07 2024","The main experiment item","no","fmri_experiment_final.osexp","C:\TASKS\CNC\fCourse2024_Ctrack\cognition","no","mono","no","24","no","black","no","yes","768","Google_1_Larry Perryman_5_oval.jpg","800","psycho","9","9","9","C:/TASKS/CNC/fCourse2024_Ctrack/cognition/subject-3037.csv","psycho","Lentiform Loewenfeld","3.3.12","Allison_Samson_13_oval.jpg","0","1","1","1","1","1","1","NA","550.9726000018418","12465.058499990846","101628.92190000275","15275.290800011135","5805.195400011144","376.07430000207387","NA","550.9726000018418","18859.73749999539","1","5","2","psycho","1024","2","48000","-16","experiment","3037","odd","222384.3882999936","221572.00299999386","NA","190075.77769999625","NA","NA","NA","NA","154918.18809999677","NA","3132.7939000038896","222893.17870000377","220562.0956000057","104781.51420000358","3140.6405000016093","155931.1774999951","117258.333699996","152188.57610000123","154530.41849999863","153197.6108999952","153810.63219999487","NA","154320.1335000049","154530.34969999862","223754.7765000054","123063.84170000092","152177.19919999945","223203.35389999673","223203.41790000384","220549.88200000662","171215.70390000124","171215.6485000014","Face Interval Estimation","0","29959.957899991423","21","no","680"
